participant_id	percent_0	percent_10	percent_20	percent_30	percent_40	percent_50	percent_60	percent_70	percent_80	percent_90	percent_100
sub-1001	3	1	2	3	4	5	5	5	1	1	1
sub-1003	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
sub-1007	NA	NA	NA	NA	NA	NA	NA	14	NA	NA	NA
sub-1009	1	0	3	0	2	3	1	2	4	2	3
sub-1010	0	0	3	4	2	1	2	4	3	0	NA
sub-1011	1	5	5	3	2	2	0	0	0	0	1
sub-1012	4	2	1	1	0	0	0	1	1	2	4
sub-1013	0	0	0	0	1	4	6	10	12	15	17
sub-1015	1	1	2	3	3	4	3	3	1	1	2
sub-1016	2	3	3	4	4	6	6	6	6	5	5
sub-1019	3	1	1	1	1	3	1	1	1	1	3
sub-1021	0	0	0	0	3	0	3	1	1	1	1
sub-1240	3	4	7	5	2	3	1	2	2	0	1
sub-1242	1	1	1	3	4	5	6	10	10	10	10
sub-1243	2	0	1	0	3	4	0	2	0	1	0
sub-1244	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
sub-1245	0	0	0	3	3	3	0	0	0	0	1
sub-1247	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
sub-1248	4	3	2	4	3	1	2	2	0	0	0
sub-1249	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
sub-1251	0	0	0	3	4	5	6	7	8	9	1
sub-1253	2	0	0	3	3	4	3	3	0	2	3
sub-1276	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
sub-1282	0	0	1	4	3	3	4	2	1	1	0
sub-1286	0	2	0	0	0	2	4	2	3	1	1
sub-1294	0	0	10	0	0	0	0	0	0	0	0
sub-1300	2	3	5	4	3	5	3	4	7	6	7
sub-1301	0	0	0	1	1	1	0	2	4	2	4
sub-1302	1	1	0	2	2	2	2	2	2	1	1
sub-1303	7	5	5	2	1	0	0	0	0	0	0
sub-3101	3	1	1	1	1	5	1	1	5	5	5
sub-3116	5	2	2	2	2	5	6	10	5	3	4
sub-3122	NA	NA	NA	NA	NA	NA	5	5	NA	NA	NA
sub-3125	5	0	0	0	0	0	0	0	0	0	5
sub-3140	3	4	8	6	6	3	8	3	5	6	3
sub-3152	0	0	0	0	5	10	5	0	0	0	0
sub-3164	2	4	6	8	5	6	4	3	2	0	0
sub-3166	0	3	3	3	3	2	0	0	0	0	0
sub-3167	2	4	4	4	5	0	0	1	2	4	5
sub-3170	0	0	0	0	0	0	0	0	0	6	6
sub-3173	0	4	3	6	4	0	0	0	0	0	0
sub-3175	0	0	0	2	1	5	4	3	4	4	2
sub-3176	0	1	1	2	3	5	4	2	2	1	1
sub-3189	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
sub-3190	3	3	2	2	3	1	2	5	0	0	1
sub-3200	0	0	5	5	0	0	0	5	5	0	0
