participant_id	percent_0	percent_10	percent_20	percent_30	percent_40	percent_50	percent_60	percent_70	percent_80	percent_90	percent_100
sub-1001	1	NA	2	NA	2	2	NA	NA	2	NA	2
sub-1003	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
sub-1007	NA	NA	NA	NA	NA	NA	11	NA	NA	NA	NA
sub-1009	3	0	1	0	1	3	3	2	4	1	3
sub-1010	0	0	0	2	4	6	4	2	0	0	0
sub-1011	7	0	0	0	0	0	0	0	2	1	5
sub-1012	0	2	1	1	1	5	5	5	5	2	0
sub-1013	3	2	2	3	2	5	2	2	4	3	4
sub-1015	1	1	2	6	6	8	5	5	3	2	1
sub-1016	NA	NA	NA	NA	NA	NA	NA	4	NA	NA	NA
sub-1019	5	5	3	2	1	1	2	2	5	0	0
sub-1021	0	0	0	2	0	3	3	2	2	0	2
sub-1240	2	1	0	1	0	1	3	8	4	3	3
sub-1242	0	0	0	0	0	0	1	3	4	5	5
sub-1243	0	2	3	2	5	1	1	0	0	0	0
sub-1244	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
sub-1245	0	0	0	0	0	0	0	2	2	3	3
sub-1247	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
sub-1248	2	1	2	4	2	5	4	3	4	4	3
sub-1249	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
sub-1251	3	0	0	2	0	0	3	3	3	3	3
sub-1253	5	0	0	3	2	3	0	1	1	0	4
sub-1276	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
sub-1282	0	1	2	1	2	2	2	2	3	2	1
sub-1286	2	1	1	2	0	0	4	1	2	1	1
sub-1294	0	2	2	5	5	5	3	2	1	0	0
sub-1300	0	4	4	3	4	5	6	4	3	3	0
sub-1301	0	0	0	0	0	1	3	3	6	3	0
sub-1302	0	1	0	0	2	0	2	2	3	3	3
sub-1303	0	1	0	2	3	4	5	7	7	3	1
sub-3101	NA	NA	NA	NA	NA	NA	NA	NA	5	5	2
sub-3116	NA	NA	NA	NA	NA	4	NA	NA	8	NA	NA
sub-3122	4	NA	NA	NA	NA	NA	NA	2	3	NA	4
sub-3125	0	0	0	0	0	0	0	4	3	2	2
sub-3140	2	3	0	0	3	2	4	1	4	2	3
sub-3152	0	0	0	0	0	2	3	5	4	3	2
sub-3164	0	0	0	0	0	6	8	8	8	4	4
sub-3166	0	0	0	0	4	5	6	0	0	0	0
sub-3167	0	0	0	0	3	8	8	2	0	0	0
sub-3170	0	0	0	0	0	0	1	6	4	3	0
sub-3173	3	2	3	0	0	0	4	4	0	0	4
sub-3175	0	0	0	0	0	0	1	3	5	5	4
sub-3176	2	0	0	3	3	4	2	1	0	0	0
sub-3189	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
sub-3190	0	2	0	0	0	0	2	0	2	0	4
sub-3200	0	1	3	0	3	6	0	5	0	0	0
