participant_id	percent_0	percent_10	percent_20	percent_30	percent_40	percent_50	percent_60	percent_70	percent_80	percent_90	percent_100
sub-1001	3	NA	2	2	NA	2	NA	NA	NA	NA	NA
sub-1003	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
sub-1007	NA	NA	NA	NA	NA	NA	NA	NA	NA	19	NA
sub-1009	0	0	0	0	1	2	5	2	4	1	2
sub-1010	4	3	0	0	0	0	0	0	2	3	4
sub-1011	0	0	0	0	0	0	1	3	5	5	2
sub-1012	0	0	3	3	3	3	3	3	3	0	0
sub-1013	0	0	0	4	3	6	6	2	0	0	0
sub-1015	0	0	0	0	0	0	3	3	8	6	3
sub-1016	NA	NA	NA	NA	NA	NA	5	NA	NA	NA	NA
sub-1019	2	1	1	4	4	2	1	0	2	0	0
sub-1021	0	0	0	0	0	3	3	2	2	0	2
sub-1240	3	0	1	0	0	2	5	10	5	3	4
sub-1242	4	2	3	0	0	0	0	1	0	0	0
sub-1243	0	0	0	0	1	3	3	1	2	3	3
sub-1244	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
sub-1245	0	0	0	0	0	3	3	4	0	0	0
sub-1247	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
sub-1248	0	0	0	2	3	5	2	2	0	0	2
sub-1249	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
sub-1251	3	0	0	0	0	0	3	3	3	3	3
sub-1253	0	0	0	3	3	2	0	3	2	0	3
sub-1276	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
sub-1282	0	0	0	0	1	2	2	3	5	3	2
sub-1286	3	1	0	4	0	0	0	1	1	1	1
sub-1294	2	0	0	0	0	0	0	3	3	3	3
sub-1300	2	4	1	0	1	1	6	4	6	6	6
sub-1301	1	1	2	2	2	4	3	4	2	0	0
sub-1302	1	2	0	0	2	2	3	3	2	1	0
sub-1303	0	0	2	4	5	6	5	1	0	0	0
sub-3101	2	5	NA	4	NA	5	NA	NA	NA	NA	NA
sub-3116	NA	NA	NA	NA	5	5	10	NA	NA	NA	NA
sub-3122	0	NA	NA	NA	NA	5	4	3	NA	NA	NA
sub-3125	0	0	0	3	3	4	3	1	0	0	0
sub-3140	1	1	1	0	2	3	4	5	3	3	2
sub-3152	5	4	0	0	0	0	0	0	0	3	5
sub-3164	0	0	0	2	4	6	6	2	4	2	4
sub-3166	0	0	0	0	0	2	3	3	3	3	0
sub-3167	0	2	0	1	0	4	6	2	2	3	4
sub-3170	0	0	0	1	2	5	3	4	0	0	0
sub-3173	0	0	0	0	3	8	4	3	0	0	0
sub-3175	0	0	0	0	0	1	0	6	5	4	3
sub-3176	0	0	0	0	3	4	5	3	1	1	1
sub-3189	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
sub-3190	0	0	3	6	4	5	3	0	0	0	2
sub-3200	4	4	0	0	0	0	0	0	3	4	5
