participant_id	percent_0	percent_10	percent_20	percent_30	percent_40	percent_50	percent_60	percent_70	percent_80	percent_90	percent_100
sub-1001	2	1	1	1	1	1	2	7	9	10	10
sub-1003	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
sub-1007	NA	NA	NA	NA	NA	NA	NA	NA	8	NA	NA
sub-1009	1	1	1	1	1	1	1	3	7	10	10
sub-1010	0	1	2	3	4	5	6	7	8	9	10
sub-1011	0	0	0	0	0	0	0	2	10	10	10
sub-1012	0	0	0	0	0	10	10	10	10	10	10
sub-1013	0	0	0	0	1	5	5	8	10	12	15
sub-1015	0	0	0	0	3	5	9	10	10	10	10
sub-1016	2	3	3	4	4	6	6	6	5	5	10
sub-1019	0	0	0	0	0	10	10	10	10	10	10
sub-1021	0	0	0	0	0	0	7	9	9	10	10
sub-1240	0	0	1	0	1	3	3	3	3	1	2
sub-1242	1	1	1	1	1	5	8	10	10	10	10
sub-1243	0	0	0	0	2	3	3	3	4	4	4
sub-1244	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
sub-1245	0	0	0	0	0	5	7	9	9	9	10
sub-1247	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
sub-1248	0	0	0	0	0	5	6	8	10	10	10
sub-1249	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
sub-1251	0	0	0	0	0	1	3	8	9	9	10
sub-1253	0	3	0	3	2	5	5	4	2	2	5
sub-1276	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
sub-1282	0	0	0	0	0	1	4	8	10	10	10
sub-1286	1	1	2	3	4	5	6	7	8	9	10
sub-1294	0	0	0	0	0	5	5	7	7	9	10
sub-1300	0	0	0	0	0	5	6	10	10	10	10
sub-1301	1	1	1	1	1	3	3	5	10	10	9
sub-1302	0	0	0	0	0	2	0	2	6	6	4
sub-1303	0	0	0	1	4	6	7	10	10	10	10
sub-3101	1	1	1	1	1	5	1	1	1	8	10
sub-3116	0	0	0	0	1	2	5	6	10	10	10
sub-3122	NA	NA	NA	NA	NA	3	4	5	10	NA	10
sub-3125	0	1	2	3	4	5	6	7	8	9	10
sub-3140	2	6	7	6	5	8	8	9	8	7	4
sub-3152	0	0	0	0	0	4	3	10	10	10	10
sub-3164	0	0	0	0	3	5	6	8	9	10	10
sub-3166	0	0	0	0	1	5	9	10	10	10	10
sub-3167	0	0	0	0	0	8	8	10	10	10	10
sub-3170	1	1	1	1	1	1	1	3	9	10	10
sub-3173	0	0	0	0	0	3	8	10	10	10	10
sub-3175	0	0	0	0	0	0	0	0	4	9	10
sub-3176	0	0	0	0	2	4	5	10	10	10	10
sub-3189	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
sub-3190	0	0	0	0	3	2	2	2	3	4	4
sub-3200	0	0	0	0	0	7	10	10	10	10	10
