Variable_FieldName,Acronym,Field_Type,Field_Label,"Choices, Calculations, OR Slider Labels",Unit
age,DENO,text,What is your age in years?,Units,years
sex,DEMO,not_calc,What is your sex?,"1, Male | 2, Female | 3, Other",
sexOther,DENO,text,"If Other, please elaborate",Units,text
race,DEMO,not_calc,Which race or ethicity best describes you? (Please choose only one.),"1, Native American or Alaskan Native | 2, Asian / Pacific Islander | 3, Black or African American | 4, Hispanic | 5, White / Caucasian | 6, Multiple ethnicity/ Other (please specify)",
raceOther,DEMO,text,"If Other, please elaborate",Units,text
education,DEMO,not_calc,What is your highest level of education?,"1, No schooling completed | 2, Some high school, no diploma | 3, High school graduate, diploma or the equivalent | 4, Some college credit, no degree | 5, Associates Degree | 6, Bachelor's Degree | 7, Master's Degree | 8, Doctoral Degree",
Zip1,DEMO,text,What is the zip code of your current residence?,Units,text
Zip5,DEMO,text,"If you have moved in the past 5 years, which zip code did you spend most of your time?",Units,text
SFQ1,SFQ,not_calc,Have you ever been the victim of a scam or financial exploitation?,"1, Yes | 2, No",
SFQ2,SFQ,text,"If yes, Approximately how much money (in dollars) did you lose as a result of fraud or financial exploitation in your lifetime?",Units,text
SFQ3,SFQ,text,"If yes, Approximately when did the scam or financial exploitation occur?",Units,text
SFQ4,SFQ,not_calc,How would you categorize the scam or financial exploitation that occur?,"1, An impersonator (fake government, business, love interest, grandchild, etc) | 2, Job, investment, or money making opportunity | 3, Phone, internet, TV service | 4, Health (weight loss, other treatments) | 5, Online shopping | 6, Sweepstakes, prize, lottery | 7, Auto sale or repair | 8, Credit, debt, or loan | 9, Other not described",
SFQ5,SFQ,text,Can you describe the event and what happened?,Units,text
SFQ6,SFQ,text,"How much money have you lost in your lifetime as a result of fraud, financial exploitation, or related scams?",Units,text
SFQ7,SFQ,text,"How much money have you lost in the past 12 months as a result of fraud, financial exploitation, or related scams?",Units,text
FEVS_1,FEVS,not_calc,How worried are you about having enough money to pay for things?,"1, Not at all worried | 2, Somewhat worried | 3, Very worried",
FEVS_2,FEVS,not_calc,"Overall, how satisfied are you with your finances?","1, Satisfied | 2, Neither | 3, Dissatisfied",
FEVS_3,FEVS,not_calc,Think about who manages your finances day-to-day? How satisfied are you with this money management arrangement?,"1, Satisfied | 2, Neither | 3, Dissatisfied",
FEVS_4,FEVS,not_calc,How confident are you in making big financial decisions?,"1, Confident | 2, Unsure | 3, Not confident",
FEVS_5,FEVS,not_calc,How often do you worry about financial decisions you’ve recently made?,"1, Never | 2, Sometimes | 3, Often",
FEVS_6,FEVS,not_calc,How often do your monthly expenses exceed your regular monthly income?,"1, Never or rarely | 2, Some of the time | 3, A lot of the time",
FEVS_7,FEVS,not_calc,"How often do you wish you had someone to talk to about financial decisions, transactions, or plans?","1, None of the time | 2, Some of the time | 3, A lot of the time",
FEVS_8,FEVS,not_calc,How often do you feel anxious about your financial decisions and/or transactions?,"1, Never or rarely | 2, Sometimes | 3, Often",
FEVS_9,FEVS,not_calc,How often do you feel downhearted or blue about your financial situation or decisions?,"1, None of the time | 2, Some of the time | 3, Most of the time",
SUSD1,SUSD,not_calc,"Have you had periods of extreme happiness and intense energy lasting several days or more when you also felt much more anxious or tense (jittery, nervous. uptight) than usual (other than related to the menstrual cycle)?,","1, Never or hardly ever | 2, Sometimes | 3, Often | 4, Very often or almost constantly",
SUSD2,SUSD,not_calc,Have there been times of several days or more when you were so sad that it was quite painful or you felt that you couldn't stand it?,"1, Never or hardly ever | 2, Sometimes | 3, Often | 4, Very often or almost constantly",
SUSD3,SUSD,not_calc,"Have there been times lasting several days or more when you felt you must have lots of excitement, and you actually did a lot of new or different things?","1, Never or hardly ever | 2, Sometimes | 3, Often | 4, Very often or almost constantly",
SUSD4,SUSD,not_calc,"Have you had periods of extreme happiness and intense energy (clearly more than your usual self) when, for several days or more, it took you over an hour to get to sleep at night?","1, Never or hardly ever | 2, Sometimes | 3, Often | 4, Very often or almost constantly",
SUSD5,SUSD,not_calc,"Have there been long periods in your life when you felt sad, depressed, or irritable most of the time?","1, Never or hardly ever | 2, Sometimes | 3, Often | 4, Very often or almost constantly",
SUSD6,SUSD,not_calc,"Have you had periods of extreme happiness and high energy lasting several days or more when what you saw, heard, smelled, tasted, or touched seemed vivid or intense?","1, Never or hardly ever | 2, Sometimes | 3, Often | 4, Very often or almost constantly",
SUSD7,SUSD,not_calc,Have there been periods of several days or more when your thinking was so clear and quick that it was much better than most other people's?,"1, Never or hardly ever | 2, Sometimes | 3, Often | 4, Very often or almost constantly",
SUSD8,SUSD,not_calc,Have there been times of a couple days or more when you felt that you were a very important person or that your abilities or talents were better than most other people's?,"1, Never or hardly ever | 2, Sometimes | 3, Often | 4, Very often or almost constantly",
SUSD9,SUSD,not_calc,"Have them been times when you have hated yourself or felt that you were stupid, ugly, unlovable, or useless?","1, Never or hardly ever | 2, Sometimes | 3, Often | 4, Very often or almost constantly",
SUSD10,SUSD,not_calc,Have there been times of several days or more when you really got down on yourself and felt worthless?,"1, Never or hardly ever | 2, Sometimes | 3, Often | 4, Very often or almost constantly",
SUSD11,SUSD,not_calc,Have you had periods when it seemed that the future was hopeless and things could not improve?,"1, Never or hardly ever | 2, Sometimes | 3, Often | 4, Very often or almost constantly",
SUSD12,SUSD,not_calc,Have there been periods lasting several days or more when you were so down in the dumps that you thought you might never snap out of it?,"1, Never or hardly ever | 2, Sometimes | 3, Often | 4, Very often or almost constantly",
SUSD13,SUSD,not_calc,"Have you had times when your thoughts and ideas came so fast that you couldn't get them all out, or they came so quickly that others complained that they couldn't keep up with your ideas?","1, Never or hardly ever | 2, Sometimes | 3, Often | 4, Very often or almost constantly",
SUSD14,SUSD,not_calc,Have there been times when you have felt that you would be better off dead?,"1, Never or hardly ever | 2, Sometimes | 3, Often | 4, Very often or almost constantly",
AADIS1,AADIS,not_calc,"Tobacco(cigarettes, cigars), chewing tobacco, nicotine gum or nicotine patch,","1, Never Used | 2, Once or Twice | 3, Several Times a Month | 4, Weekends Only | 5, Several Times a Week | 6, Daily | 7, Several Times Daily",
AADIS2,AADIS,not_calc," Alcohol (beer, wine, liquor)","1, Never Used | 2, Once or Twice | 3, Several Times a Month | 4, Weekends Only | 5, Several Times a Week | 6, Daily | 7, Several Times Daily",
AADIS3,AADIS,not_calc," Marijuana or Hashish (pot, weed, grass, blunts, wet)","1, Never Used | 2, Once or Twice | 3, Several Times a Month | 4, Weekends Only | 5, Several Times a Week | 6, Daily | 7, Several Times Daily",
