Variable / Field Name,Form Name,Section Header,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Field Note,Text Validation Type OR Show Slider Number,Text Validation Min,Text Validation Max,Identifier?,Branching Logic (Show field only if...),Required Field?,Custom Alignment,Question Number (surveys only),Matrix Group Name,Matrix Ranking?,Field Annotation
participant_id,screener_info_qualtrics,,text,Participant ID,,,,,,,,,,,,,
qualtrics_import_ra,screener_info_qualtrics,Contact Info to be entered from Qualtrics by Staff Member,text,Staff Member Name,,,,,,,,,,,,,
qualtrics_ppt_where,screener_info_qualtrics,,radio,Where did this participant come from?,"1, SONA | 2, Community Recruitment (i.e. friends of lab) | 4, Raffle (Group 3) | 3, Other","If the participant came from SONA, they received credit for qualtrics survey.",,,,,,,,,,,
qualtrics_ppt_where_other,screener_info_qualtrics,,text,Other: Please Describe:,,,,,,,[qualtrics_ppt_where]='3',,,,,,
ppt_paid_yn,screener_info_qualtrics,,radio,Was this participant payed for their qualtrics screener? ,"0, No | 1, Yes",,,,,,[qualtrics_ppt_where]='2',,,,,,
qualtrics_id,screener_info_qualtrics,,text,Qualtrics response ID,,,,,,,,,,,,,
qualtrics_screener_name,screener_info_qualtrics,,text,Participant Name,,,,,,,,,,,,,
qualtrics_screener_email,screener_info_qualtrics,,text,Participant Email,,,email,,,,,,,,,,
qualtrics_screener_phone,screener_info_qualtrics,,text,Participant Phone,,,phone,,,,,,,,,,
qualtrics_screener_consent,screener_info_qualtrics,,radio,Did this participant consent to the study on qualtrics?,"0, No | 1, Yes",,,,,,,,,,,,
ppt_future_studies_yn,screener_info_qualtrics,,radio,Did this participant agree to be contacted about future studies?,"0, No | 1, Yes",,,,,,,,,,,,
qualtrics_screener_notes,screener_info_qualtrics,,notes,Any notes about this participant: ,,,,,,,,,,,,,
qualtrics_screener_reward,screener_info_qualtrics,,text,Please write in the participant's reward sensitivity quintiles score from SPSS. ,,Quintile score should be 0. We can accept +/- 1 Difference Score,,,,,,,,,,,
qualtrics_screener_qualify,screener_info_qualtrics,,radio,Does this participant qualify for ISTART 2021?,"0, No|1, Yes",,,,,,,,,,,,
qualtrics_screener_reason,screener_info_qualtrics,,notes,Reason for disqualification?,,,,,,,[qualtrics_screener_qualify]='0',,,,,,
